city,date,min_temp,max_temp,weather,rp,rainfall
Sarajevo (Bosnia and Herzegovina),2025-06-16,12.96°C,27.58°C,구름조금,0%,0mm
Sarajevo (Bosnia and Herzegovina),2025-06-17,13.4°C,26.25°C,실 비,26%,0.18mm
Sarajevo (Bosnia and Herzegovina),2025-06-18,11.79°C,29.11°C,맑음,0%,0mm
Gaborone (Botswana),2025-06-12,6.52°C,19.34°C,맑음,0%,0mm
Gaborone (Botswana),2025-06-13,7.72°C,19.39°C,온흐림,0%,0mm
Gaborone (Botswana),2025-06-14,11.01°C,20.15°C,약간의 구름이 낀 하늘,0%,0mm
Gaborone (Botswana),2025-06-15,8.16°C,19.21°C,맑음,0%,0mm
Gaborone (Botswana),2025-06-16,9.2°C,21.52°C,맑음,0%,0mm
Gaborone (Botswana),2025-06-17,10.52°C,23.66°C,약간의 구름이 낀 하늘,0%,0mm
Gaborone (Botswana),2025-06-18,12.09°C,25.06°C,맑음,0%,0mm
Brasília (Brazil),2025-06-13,15.4°C,26.38°C,실 비,20%,0.1mm
Brasília (Brazil),2025-06-14,14.45°C,22.51°C,튼구름,4%,0mm
Brasília (Brazil),2025-06-15,13.76°C,24.05°C,튼구름,0%,0mm
Brasília (Brazil),2025-06-16,12.49°C,24.95°C,튼구름,0%,0mm
Brasília (Brazil),2025-06-17,13.94°C,25.21°C,맑음,0%,0mm
Brasília (Brazil),2025-06-18,13.4°C,26.38°C,맑음,0%,0mm
Brasília (Brazil),2025-06-19,15.31°C,26.44°C,맑음,0%,0mm
Road Town (British Virgin Islands),2025-06-13,25.98°C,26.69°C,실 비,100%,2.25mm
Road Town (British Virgin Islands),2025-06-14,25.68°C,26.53°C,실 비,100%,0.86mm
Road Town (British Virgin Islands),2025-06-15,26.03°C,26.55°C,실 비,20%,0.33mm
Road Town (British Virgin Islands),2025-06-16,26.16°C,26.67°C,실 비,20%,0.39mm
Road Town (British Virgin Islands),2025-06-17,26.37°C,26.72°C,실 비,27%,0.15mm
Road Town (British Virgin Islands),2025-06-18,26.4°C,26.8°C,실 비,100%,2.85mm
Road Town (British Virgin Islands),2025-06-19,26.24°C,26.64°C,실 비,100%,3.72mm
Bandar Seri Begawan (Brunei Darussalam),2025-06-12,24.42°C,30.66°C,실 비,85%,1mm
Bandar Seri Begawan (Brunei Darussalam),2025-06-13,25.73°C,31.03°C,구름조금,2%,0mm
Bandar Seri Begawan (Brunei Darussalam),2025-06-14,25.95°C,31.21°C,보통 비,94%,1.82mm
Bandar Seri Begawan (Brunei Darussalam),2025-06-15,25.79°C,31.12°C,구름조금,0%,0mm
Bandar Seri Begawan (Brunei Darussalam),2025-06-16,25.12°C,29.2°C,실 비,89%,2.71mm
Bandar Seri Begawan (Brunei Darussalam),2025-06-17,24.83°C,31.73°C,보통 비,100%,6.39mm
Bandar Seri Begawan (Brunei Darussalam),2025-06-18,24.55°C,31.12°C,보통 비,100%,11.73mm
Sofia (Bulgaria),2025-06-12,14.55°C,26.29°C,맑음,0%,0mm
Sofia (Bulgaria),2025-06-13,13.64°C,25.63°C,맑음,0%,0mm
Sofia (Bulgaria),2025-06-14,12.07°C,23.58°C,맑음,0%,0mm
Sofia (Bulgaria),2025-06-15,11.09°C,25.5°C,맑음,0%,0mm
Sofia (Bulgaria),2025-06-16,12.66°C,27.53°C,맑음,0%,0mm
Sofia (Bulgaria),2025-06-17,15.43°C,26.46°C,온흐림,14%,0mm
Sofia (Bulgaria),2025-06-18,13.53°C,28.43°C,맑음,0%,0mm
Ouagadougou (Burkina Faso),2025-06-12,25.1°C,30.62°C,보통 비,98%,2.75mm
Ouagadougou (Burkina Faso),2025-06-13,25.33°C,36.8°C,구름조금,0%,0mm
Ouagadougou (Burkina Faso),2025-06-14,27.4°C,36.34°C,실 비,31%,0.27mm
Ouagadougou (Burkina Faso),2025-06-15,27.12°C,36.22°C,실 비,25%,0.17mm
Ouagadougou (Burkina Faso),2025-06-16,27.62°C,34.64°C,실 비,44%,0.12mm
Ouagadougou (Burkina Faso),2025-06-17,25.91°C,36.42°C,실 비,42%,0.67mm
Ouagadougou (Burkina Faso),2025-06-18,25.34°C,39.22°C,보통 비,93%,9.25mm
Bujumbura (Burundi),2025-06-12,21.59°C,27.71°C,약간의 구름이 낀 하늘,4%,0mm
